NOME DO CANTO;NÚMERO;COMPOSITOR;CATEGORIA;TONALIDADE
PAI TE OLHAMOS;1;;TRINDADE;D
SANTO (SEARA);2;;SANTO;
AXÉ;3;;ENTRADA;
GLÓRIA E LOUVORES;4;;PALAVRA;
BENDITO ÉS TU (Pai do céu);5;;ENTRADA;
SE ALGUÉM ESTÁ EM CRISTO;6;;PERDÃO;
EU NÃO QUERO SER O MESMO;7;;PERDÃO;
RENOVA-ME;8;;PERDÃO;
É BOM CELEBRAR;9;;ENTRADA;
A TUA PALAVRA SENHOR;10;;PALAVRA;
DESPERTA;11;;ENTRADA;
RESSURREIÇÃO;12;;ENTRADA;
ALELUIA ESTE É O DIA;13;;ALELUIA;
RESSUSCITOU;14;;ENTRADA;
AGRADEÇO-TE SENHOR;15;;AGRADECIMENTO;
que bom te receber;16;;COMUNHÃO;
DEUS CHAMA A GENTE;17;;ENTRADA;
NÃO DÁ MAIS PRA VOLTAR;18;;AÇÃO DE GRAÇAS;
ALELUIA O SALVADOR;19;;ALELUIA;
IMACULADA;20;;MARIA;G
ALELUIA A MINH'ALMA;21;;ALELUIA;
EIS-ME AQUI SENHOR (envia-me);22;;ENTRADA, MISSÃO;
SENHOR SENHOR PIEDADE;23;;PERDÃO;
POR MELHOR QUE SEJA (SL 145);24;;SALMO;
OLHO EM TUDO;25;;AÇÃO DE GRAÇAS;
ALELUIA PASSARÃO OS CÉUS;26;;ALELUIA;
DEUS ENVIOU;27;;ENTRADA;
HOJE É TEMPO DE LOUVAR A DEUS;28;;ENTRADA;
PERDÃO SENHOR;29;;PERDÃO;
COM TEU AMOR (Eucaristia);30;;COMUNHÃO;
EIS QUE FAÇO NOVAS TODAS AS COISAS;31;;ENTRADA;
EU NAVEGAREI    ;32;;ESPÍRITO SANTO;
QUANDO HÁ FESTA;33;;ENTRADA;
EU TENHO OS MEUS PÉS NO CHÃO (SOU ESTRANGEIRO AQUI);34;Shalom;;
ESTRANGEIRO AQUI!;35;;FINAL;
ALELUIA VENHA E CANTE;36;;ALELUIA;
REI SENHOR;37;;LOUVOR;
DOCE É SENTIR;38;;AÇÃO DE GRAÇAS;
VAMOS CELEBRAR COM JÚBILO;39;;ENTRADA;
COMO É BOM E AGRADÁVEL (SL 133);40;;SALMO;
PAI NOS CRIASTE AMOR;41;;TRINDADE;C
AVE CHEIA DE GRAÇA (Ladainha);42;;MARIA;D
ESCUTA É A MORTE;43;;MISSÃO;
A SOMBRA VAI SE ABRINDO;44;;AÇÃO DE GRAÇAS;
JESUS RESSUSCITOU (Por sua morte);45;;REISUREÇÃO;
HOSANA AO NOSSO REI;46;;SANTO;
ALELUIA NO PRINCÍPIO;47;;ALELUIA;
SANTO (SANTO É);48;;SANTO;
SANTO QUEREMOS PROCLAMAR;49;;SANTO;
ANTES QUE TE FORMASSE;50;;ENTRADA, MISSÃO;Dm
DA PAZ;51;Taizé;REFRÕES;
O MESTRE (Ó Senhor faazei de mim);52;Spoladore;COMUNHÃO;
SENHOR QUE VIESTES;53;;PERDÃO;
ALLELUIA E RISORTO;54;;ALELUIA;
GRANDE É O SENHOR (SL 47);55;;SALMO;
NOITE E DIA;56;;OFERTÓRIO;
LOUVAI O NOME DE JESUS;57;;LOUVOR, ADORAÇÃO;
PALMAS PRA JESUS (Vamos cantar ao Senhor);58;;;
A TUA PALAVRA (Quando as forças se acabam);59;;;
MEU DEUS ESTÁ VIVO;60;;ANIMAÇÃO;E
SANTO (C. MEDAS);61;;SANTO;
MARAVILHOSO;62;;LOUVOR ADORAÇÃO, ADORAÇÃO;
PAI ESCUTA A NOSSA ORAÇÃO;63;;TRINDADE;D
GRANDES COISAS;64;;AÇÃO DE GRAÇAS;
POR ESSA PAZ;65;;COMUNHÃO;
SANTO (VILLAREGIA);66;;SANTO;
RIEMPICI DI TE;67;Spoladore;TRINDADE, PERDÃO;Bm
ESPÍRITO ENCHE A MINHA VIDA   ;68;;ESPÍRITO SANTO;
ALELUIA UM GRITO FORTE;69;;ALELUIA;
GLÓRIA A DEUS (A Ele seja a Glória - Gl. curto);70;;GLÓRIA;
SALVE SENHOR MESTRE DO AMOR    ;71;;QUARESMA;
SANTA MAIS QUE TUDO SANTA;72;;MARIA;G
QUEM É ESTA QUE AVANÇA;73;;MARIA;E
É COMO A CHUVA QUE LAVA;74;;PALAVRA;
AMAR-TE MAIS;75;;AÇÃO DE GRAÇAS, ADORAÇÃO;
VEM Ó ESPIRITO   ;76;;ESPÍRITO SANTO;
MARIA DE NAZARÉ;77;;MARIA;D
GLÓRIA (O povo de Deus reunido);78;;GLÓRIA;
A CORÇA (Assim como a corsa);79;;ESPÍRITO SANTO;
SE POR TI EU FUI CRIADO;80;;AÇÃO DE GRAÇAS;
ESPÍRITO DE DEUS DESCE SOBRE NÓS   (Funde-nos);81;;ESPÍRITO SANTO;
SENHOR TEM PIEDADE;82;;PERDÃO;
SENHOR EU ESTOU AQUI;83;;PERDÃO;
O CORPO QUE ERA DELE;84;;COMUNHÃO;
QUERO APRENDER;85;;AÇÃO DE GRAÇAS, MISSÃO;
UMA DENTRE TODAS;86;;MARIA;E
NA COMUNHÃO JESUS SE DÁ;87;;COMUNHÃO;
CANTE AO SENHOR;88;;PARA BÊNÇÃO, LOUVOR;
CONHEÇO UM CORAÇÃO;89;;PERDÃO;
SENHOR SE FUGIMOS DE VÓS;90;;PERDÃO;
SOBE À JERUSALÉM;91;;OFERTÓRIO;
NOSSO DEUS É SOBERANO;92;;LOUVOR;
